Type,id,name,type,canonicalUrl,classType,salesUnitType,sellerName,fulfillmentType, Price ,Unit Price
Vegetable,6M305QWQZ7EQ,"Roma Tomato, each",REGULAR,/ip/Roma-Tomato-each/44390944?athbdg=L1200,REGULAR,EACH_WEIGHT,Walmart.com,STORE, $0.38 ,$1.28/lb
Vegetable,4YC8D35S08K7,"Fresh Green Bell Pepper, Each",REGULAR,/ip/Fresh-Green-Bell-Pepper-Each/44390945?athbdg=L1600,REGULAR,EACH,Walmart.com,STORE, $0.80 ,
Vegetable,1WDX9B71I4P3,Iceberg Lettuce,REGULAR,/ip/Iceberg-Lettuce/10402650?athbdg=L1600,REGULAR,EACH,Walmart.com,STORE, $1.62 ,
Vegetable,5N1ZSS2FQFPH,"Russet Potatoes, 5 lb Bag",REGULAR,/ip/Russet-Potatoes-5-lb-Bag/10447837?athbdg=L1600,REGULAR,EACH,Walmart.com,STORE, $2.88 ,57.6 Â¢/lb
Vegetable,20ERPT03DIJN,Fresh Zucchini Squash,REGULAR,/ip/Fresh-Zucchini-Squash/44390947?athbdg=L1600,REGULAR,EACH_WEIGHT,Walmart.com,STORE, $0.81 ,$1.48/lb
Vegetable,6G1WIEAM3RMO,"Grape Tomato, 10 oz",REGULAR,/ip/Grape-Tomato-10-oz/10451313,REGULAR,EACH,Walmart.com,STORE, $2.78 ,17.4 Â¢/oz
Vegetable,1U1E9S3F72GQ,"Romaine Lettuce Hearts, 3 Pack",REGULAR,/ip/Romaine-Lettuce-Hearts-3-Pack/10532755,REGULAR,EACH,Walmart.com,STORE, $2.98 ,99.3 Â¢/ea
Vegetable,3IFBYW8KVIHZ,"Tomato on the Vine, cluster",REGULAR,/ip/Tomato-on-the-Vine-cluster/44390955,REGULAR,EACH_WEIGHT,Walmart.com,STORE, $1.90 ,$1.90/lb
Vegetable,2530EGRYLWQ8,"Fresh Color Bell Peppers, 3 count",REGULAR,/ip/Fresh-Color-Bell-Peppers-3-count/47770124,REGULAR,EACH,Walmart.com,STORE, $3.22 ,
Vegetable,2FK71XUY7MKS,"Slicing Tomato, each",REGULAR,/ip/Slicing-Tomato-each/44390971,REGULAR,EACH_WEIGHT,Walmart.com,STORE, $0.91 ,$1.98/lb
Vegetable,2CE7HWXC8U9B,"Sweet Corn On The Cob, Fresh Corn, 1 ea",REGULAR,/ip/Sweet-Corn-On-The-Cob-Fresh-Corn-1-ea/44391430,REGULAR,EACH,Walmart.com,STORE, $0.42 ,
Vegetable,1ZBGZFOI1BKB,"Marketside Green Beans, 12 oz",REGULAR,/ip/Marketside-Green-Beans-12-oz/14053328,REGULAR,EACH,Walmart.com,STORE, $2.78 ,23.2 Â¢/oz
Vegetable,4IETUF89Y7DR,"Fresh Mini Cucumber, 1lb bag",REGULAR,/ip/Fresh-Mini-Cucumber-1lb-bag/44419690,REGULAR,EACH,Walmart.com,STORE, $2.23 ,37.2 Â¢/ea
Vegetable,6MDAR072AXT4,"Fresh Mini Sweet Peppers, 16 oz bag",REGULAR,/ip/Fresh-Mini-Sweet-Peppers-16-oz-bag/10324377,REGULAR,EACH,Walmart.com,STORE, $2.98 ,
Vegetable,5WH3T0LJIQQV,Fresh Yellow Squash,REGULAR,/ip/Fresh-Yellow-Squash/44391040,REGULAR,EACH_WEIGHT,Walmart.com,STORE, $0.89 ,$1.48/lb
Vegetable,6GC2MWRVJX2F,"Marketside Sugar Snap Peas, 8 oz",REGULAR,/ip/Marketside-Sugar-Snap-Peas-8-oz/13399614,REGULAR,EACH,Walmart.com,STORE, $2.78 ,34.8 Â¢/oz
Vegetable,19HBYCSV0BOZ,"Marketside Shredded Iceberg Lettuce, 8 oz",REGULAR,/ip/Marketside-Shredded-Iceberg-Lettuce-8-oz/13893731,REGULAR,EACH,Walmart.com,STORE, $1.62 ,20.3 Â¢/oz
Vegetable,25VIXZNQWHKD,"Fresh Jalapeno Pepper, approx. 3-5 per 0.25 lb",REGULAR,/ip/Fresh-Jalapeno-Pepper-approx-3-5-per-0-25-lb/44391018,REGULAR,WEIGHT,Walmart.com,STORE, $0.37 ,$1.47/lb
Vegetable,2MMRAI33EEA3,"Russet Baking Potatoes, each",REGULAR,/ip/Russet-Baking-Potatoes-each/44391004,REGULAR,EACH_WEIGHT,Walmart.com,STORE, $0.69 ,98.0 Â¢/lb
