Category,Name,Price,salePrice,slug,brand,Unit,incrementalSalePrice,primeMultiple,saleMultiple
Fruit,Organic Honeycrisp Apple,3.99,,produce-organic-honeycrisp-apple-b001gip2a8,PRODUCE,lb,,,
Fruit,Honeycrisp Apple,2.99,2.79,produce-honeycrisp-apple-b0787yc1hy,PRODUCE,lb,2.51,,
Fruit,Organic Fuji Apple,2.79,,produce-organic-fuji-apple-b000ytxxdi,PRODUCE,lb,,,
Fruit,Organic Raspberries,7.99,,driscolls-organic-raspberries-b003tq4mtc,Driscoll's,,,,
Fruit,Cubed Watermelon,4.49,,produce-cubed-watermelon-b079m76nm2,PRODUCE,lb,,,
Fruit,Organic Gala Apple,2.79,,produce-organic-gala-apple-b001gip5ci,PRODUCE,lb,,,
Fruit,Organic Raspberries Half Pint,4.99,7,produce-organic-raspberries-half-pint-b079yxd4h2,PRODUCE,,6.3,2,2
Fruit,Organic Mini Watermelon,5.99,,produce-organic-mini-watermelon-b07bnjfbv1,PRODUCE,,,,
Fruit,Strawberries,4.49,,produce-strawberries-b079vqsvyp,PRODUCE,,,,
Fruit,Seedless Watermelon,6.99,,produce-seedless-watermelon-b078146nwd,PRODUCE,,,,
Fruit,Seedless Watermelon,5.99,,produce-seedless-watermelon-b07fz13dgw,PRODUCE,,,,
Fruit,Organic Cripps Pink Apple,2.99,,produce-organic-cripps-pink-apple-b005kcihty,PRODUCE,lb,,,
Fruit,Organic Granny Smith Apple,2.99,,produce-organic-granny-smith-apple-b003tqa73m,PRODUCE,lb,,,
Fruit,Mini Watermelon,4.49,,produce-mini-watermelon-b077zxdtkt,PRODUCE,,,,
Fruit,Organic Bosc Pear,2.49,,produce-organic-bosc-pear-b003tqbykc,PRODUCE,lb,,,
Fruit,Raspberries,6.49,,driscolls-raspberries-b0029blmfk,Driscoll's,,,,
Fruit,Organic Honeycrisp Apples Bag,9.99,,produce-organic-honeycrisp-apples-bag-b07fyg33sb,PRODUCE,,,,
Fruit,Organic Strawberries,5.99,,tomatero-organic-farm-organic-strawberries-b07pqnbkck,Tomatero Organic Farm,,,,
Fruit,Organic Black Plum,4.99,,produce-organic-black-plum-b07fyy7bgk,PRODUCE,lb,,,
Fruit,Black Plum,3.49,,produce-black-plum-b0787y63tn,PRODUCE,lb,,,
Fruit,Organic Gala Apples 3lb Bag,6.99,,produce-organic-gala-apples-3lb-bag-b0787wzd37,PRODUCE,,,,
Fruit,Organic Red Plum,4.99,,produce-organic-red-plum-b0050prl6q,PRODUCE,lb,,,
Fruit,Red Plum,3.49,,produce-red-plum-b0787w8x4t,PRODUCE,lb,,,
Fruit,Grape Tomatoes,2.99,,365-by-whole-foods-market-grape-tomatoes-b07y45mtcs,365 by Whole Foods Market,,,,
Fruit,Organic Packham Pear,2.49,,produce-organic-packham-pear-b07fyyb639,PRODUCE,lb,,,
Fruit,Strawberries,2.79,,produce-strawberries-b000p6j0sm,PRODUCE,,,,
Fruit,Strawberries,4.99,,produce-strawberries-b08911zp3y,PRODUCE,,,,
Vegetable,Organic Garnet Sweet Potato,2.39,,produce-organic-garnet-sweet-potato-b0787vslkl,PRODUCE,lb,,,
Vegetable,Organic Zucchini Squash,2.79,,produce-organic-zucchini-squash-b000p6j1p4,PRODUCE,lb,,,
Vegetable,Organic Heirloom Tomatoes,5.99,3.99,produce-organic-heirloom-tomatoes-b000p6x5a6,PRODUCE,lb,3.59,,
Vegetable,Zucchini Squash,2.29,,produce-zucchini-squash-b0787z3ss5,PRODUCE,lb,,,
Vegetable,Organic Slicing Cucumbers,1.69,,produce-organic-slicing-cucumbers-b001pletdc,PRODUCE,,,,
Vegetable,Russet Potato,1.19,,produce-russet-potato-b0787y5b7d,PRODUCE,lb,,,
Vegetable,Organic Russet Potato,1.39,,produce-organic-russet-potato-b07bbljd8p,PRODUCE,lb,,,
Vegetable,Organic Japanese Sweet Potato,2.39,,produce-organic-japanese-sweet-potato-b0787z3ss1,PRODUCE,lb,,,
Vegetable,Organic English Cucumbers,2.99,,produce-organic-english-cucumbers-b0040qylw8,PRODUCE,,,,
Vegetable,Slicing Cucumbers,0.89,,produce-slicing-cucumbers-b001w3t2e4,PRODUCE,,,,
Vegetable,Wild Wonders Gourmet Medley Tomatoes,3.99,,sunset-wild-wonders-gourmet-medley-tomatoes-b00e3jlswi,Sunset,,,,
Vegetable,Organic Wild Wonder Tomatoes,4.99,,sunset-produce-organic-wild-wonder-tomatoes-b08485zzbw,SUNSET PRODUCE,,,,
Vegetable,Red Bell Pepper,3.49,,produce-red-bell-pepper-b08ds45y8w,PRODUCE,lb,,,
Vegetable,Organic Jewel Sweet Potato,2.39,,produce-organic-jewel-sweet-potato-b07fzkxqt2,PRODUCE,lb,,,
Vegetable,Organic Romaine Lettuce,2.79,,produce-organic-romaine-lettuce-b07812n26q,PRODUCE,,,,
Vegetable,Organic Red Bell Pepper,3.99,,produce-organic-red-bell-pepper-b000rgyjqi,PRODUCE,lb,,,
Vegetable,Hot House English Cucumber,1.79,,produce-hot-house-english-cucumber-b07dn7nd7r,PRODUCE,,,,
Vegetable,Organic Butternut Squash,1.89,,produce-organic-butternut-squash-b002qy3u5a,PRODUCE,lb,,,
Vegetable,Organic Yellow Potato,1.99,,produce-organic-yellow-potato-b07py3gqsq,PRODUCE,lb,,,
Vegetable,Sunrise Medley Potatoes,3.99,,produce-sunrise-medley-potatoes-b07bm973h5,PRODUCE,,,,
Vegetable,Organic Red Leaf Lettuce,2.69,,produce-organic-red-leaf-lettuce-b078159d6k,PRODUCE,,,,
Vegetable,Green Bell Pepper,2.49,,produce-green-bell-pepper-b001plesvu,PRODUCE,lb,,,
Vegetable,Bi-color Corn,2,,produce-bicolor-corn-b000p7bjmq,PRODUCE,,,,
Vegetable,Angel Sweet Cherry Tomatoes,3.99,,sunset-produce-angel-sweet-cherry-tomatoes-b07nqvc7vn,SUNSET PRODUCE,,,,
Vegetable,Organic Yellow Creamer Potatoes,4.99,3.99,produce-organic-yellow-creamer-potatoes-b09wmwnwjz,PRODUCE,,3.59,,
Vegetable,Organic Sweet Baby Lettuces,3.49,,whole-foods-market-organic-sweet-baby-lettuces-b074h54n3s,Whole Foods Market,,,,
Vegetable,Organic Spaghetti Squash,1.89,,produce-organic-spaghetti-squash-b000rgwkg4,PRODUCE,lb,,,
Vegetable,Yellow Potato,1.49,,produce-yellow-potato-b078f6n7jf,PRODUCE,lb,,,
Vegetable,Organic Green Bell Pepper,3.49,,produce-organic-green-bell-pepper-b000p6j14k,PRODUCE,lb,,,
Vegetable,Romaine Lettuce,2.29,,produce-romaine-lettuce-b07814bsw2,PRODUCE,,,,
Vegetable,Organic Yellow Squash,2.79,,produce-organic-yellow-squash-b003ayhe7u,PRODUCE,lb,,,
Vegetable,Organic Purple Stokes Sweet Potato,2.39,,produce-organic-purple-stokes-sweet-potato-b07887lqpf,PRODUCE,lb,,,
Vegetable,Shredded Iceberg Lettuce,3.99,,taylor-farms-shredded-iceberg-lettuce-b00kmm8idc,Taylor Farms,,,,
Vegetable,Green Beans,5.99,,365-by-whole-foods-market-green-beans-b08b4c91n9,365 by Whole Foods Market,,,,
Vegetable,Mini Kumato Sweet Brown Grape Tomatoes,3.99,,sunset-mini-kumato-sweet-brown-grape-tomatoes-b00e3k2bmi,Sunset,,,,
Vegetable,Shishito Peppers Party Pack,5.99,,ark-foods-shishito-peppers-party-pack-b07d77hwqw,Ark Foods,,,,
Vegetable,Organic Red Potato,1.99,,produce-organic-red-potato-b078876rf7,PRODUCE,lb,,,
